Office Name,Office Type,Public Phone Number,Public Phone Extension,Street Address Line 1,Street Address Line 2,City,State,Zip Code,Monday Beginning Hours,Monday Ending Hours,Tuesday Beginning Hours,Tuesday Ending Hours,Wednesday Beginning Hours,Wednesday Ending Hours,Thursday Beginning Hours,Thursday Ending Hours,Friday Beginning Hours,Friday Ending Hours,Saturday Beginning Hours,Saturday Ending Hours,Has Kiosk?,Latitude,Longitude,Location
OWEGO,CO,6076878250,,56 Main Street,,Owego,NY,13827,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,42.100905,-76.266308,"(42.100905, -76.266308)"
POUGHKEEPSIE,CO,8454862130,,22 Market Street,County Office Building,Poughkeepsie,NY,12601,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,41.703598,-73.929524,"(41.703598, -73.929524)"
PULASKI                                 ,CO,3152986521,,2 Broad Street,,Pulaski,NY,13142,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,43.565976,-76.128839,"(43.565976, -76.128839)"
PLATTSBURGH,CO,5185654785,,137 Margaret Street,,Plattsburgh,NY,12901,8:00 AM,4:45 PM,8:00 AM,4:45 PM,8:00 AM,4:45 PM,8:00 AM,5:45 PM,8:00 AM,4:45 PM,,,N,44.699316,-73.453611,"(44.699316, -73.453611)"
PORT JEFFERSON,DO,7184774820,,1055 Route 112,,Port Jefferson,NY,11776,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,7:00 PM,,,,,N,40.923549,-73.044022,"(40.923549, -73.044022)"
LICENSE EXPRESS,DO,7189666155,,145 West 30th Street ,,New York,NY,10001,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,40.748345,-73.99155,"(40.748345, -73.99155)"
PEEKSKILL,DO,7184774820,,1045 Park Street,,Peekskill,NY,10566,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,41.290641,-73.91812,"(41.290641, -73.91812)"
PORT JERVIS,CO,8458581480,,20 Hammond Street,,Port Jervis,NY,12773,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,N,41.374542,-74.690982,"(41.374542, -74.690982)"
PAWLING                                 ,CO,8458554400,,20 East Main St,,Pawling,NY,12564,,,9:00 AM,4:45 PM,,,9:00 AM,4:45 PM,,,,,N,41.561895,-73.601388,"(41.561895, -73.601388)"
PENN YAN,CO,3155365122,,417 Liberty Street,Suite 1067,Penn Yan,NY,14527,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,,,N,42.664332,-77.058343,"(42.664332, -77.058343)"
QUEENS NORTH T V B,TV,7184885710,,30-56 Whitestone Expwy,2nd Floor,Flushing ,NY,11354,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,N,,,
QUEENS SOUTH T V B,TV,7184885710,,168-35 Rockaway Boulevard,2nd Floor ,Jamaica,NY,11434,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,N,,,
HENRIETTA,CO,5184869786,,2199 East Henrietta Road,,Rochester,NY,14623,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,6:30 PM,8:30 AM,4:30 PM,,,N,43.073684,-77.60803,"(43.073684, -77.60803)"
ROCHESTER TVB,TV,5852322340,,Reynolds Arcade Building,16  E Main St - 5th Fl,Rochester,NY,14614,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,,,
RICHMOND TVB,TV,7184885710,,West Shore Plaza,"1775 South Avenue, Ste 2",Staten Island,NY,10314,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,N,,,
RICHMOND,DO,7189666155,,1775 South Avenue,West Shore Shopping Plaza,Staten Island,NY,10314,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,40.601523,-74.193079,"(40.601523, -74.193079)"
ROME,CO,3153366790,,301 West Dominick Street,,Rome,NY,13440,9:00 AM,4:30 PM,10:00 AM,6:00 PM,9:00 AM,4:30 PM,10:00 AM,6:00 PM,9:00 AM,4:30 PM,,,N,43.212738,-75.462004,"(43.212738, -75.462004)"
RIVERHEAD,DO,7184774820,,200 Old Country Road,,Riverhead,NY,11901,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,40.936502,-72.651411,"(40.936502, -72.651411)"
SCHENECTADY                             ,CO,5183819181,,267 State Street,1st Floor,Schenectady,NY,12305,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,,,N,42.814501,-73.944475,"(42.814501, -73.944475)"
SCHOHARIE                               ,CO,5182958317,,284 Main St.,,Schoharie,NY,12157,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,7:00 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,N,42.663509,-74.312761,"(42.663509, -74.312761)"
HAUPPAUGE,DO,7184774820,,250 Veterans Memorial Hwy,,Hauppauge,NY,11788,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,40.820719,-73.219216,"(40.820719, -73.219216)"
SIDNEY,CO,6075612338,,21 Liberty Street,Civic Center,Sidney,NY,13838,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,42.317241,-75.390465,"(42.317241, -75.390465)"
SARANAC LAKE,CO,5188911748,,39 Main Street,Suite 4,Saranac Lake,NY,12983,9:00 AM,2:00 PM,9:00 AM,2:00 PM,9:00 AM,2:00 PM,9:00 AM,2:00 PM,9:00 AM,2:00 PM,,,N,44.325567,-74.132326,"(44.325567, -74.132326)"
SULLIVAN COUNTY MOBILE,MO,8457943872,,Headquartered at ,100 North St.,Monticello,NY,12701,,,,,,,,,,,,,N,,,
SARATOGA SPRINGS - WILTON,CO,5185847403,,3065 Route 50 ,Wilton Mall,Saratoga Springs,NY,12866,8:00 AM,4:45 PM,8:00 AM,6:00 PM,8:00 AM,4:45 PM,8:00 AM,4:45 PM,8:00 AM,4:45 PM,,,N,43.102048,-73.738103,"(43.102048, -73.738103)"
SPRINGFIELD GARDENS,DO,7189666155,,168-35 Rockaway Blvd,,Jamaica,NY,11434,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,40.658878,-73.771499,"(40.658878, -73.771499)"
SYRACUSE,DO,5184869786,,4671 Onondaga Blvd,Western Lights Plaza,Syracuse,NY,13219,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,43.032502,-76.193477,"(43.032502, -76.193477)"
NORTH SYRACUSE,DO,5184869786,,5801 E. Taft Road,,North Syracuse,NY,13212,8:30 AM,6:00 PM,8:30 AM,6:00 PM,8:30 AM,6:00 PM,8:30 AM,6:00 PM,,,,,Y,43.126406,-76.115814,"(43.126406, -76.115814)"
TICONDEROGA,CO,5185852511,,132 Montcalm Street,Suite 3,Ticonderoga,NY,12883,???????,???????,8:00 AM,3:30 PM,8:00 AM,3:30 PM,???????,???????,???????,???????,,,Y,43.848127,-73.422036,"(43.848127, -73.422036)"
RENSSELAER COUNTY MOBILE,MO,5182702600,,Headquartered at,1600 Seventh Avenue,Troy,NY,12180,9:00 AM,3:00 PM,9:00 AM,3:00 PM,10:00 AM,2:00 PM,???????,???????,???????,???????,,,N,,,
TROY,CO,5182702600,,1600 7th Avenue,,Troy,NY,12180,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,7:15 PM,8:30 AM,4:15 PM,,,Y,42.728941,-73.685689,"(42.728941, -73.685689)"
ULSTER COUNTY MOBILE,MO,8453403700,,Headquartered at ,240 Fair St,Kingston,NY,12401,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,,,N,,,
UTICA,CO,3157985749,,321 Main Street,,Utica,NY,13501,9:00 AM,4:30 PM,10:00 AM,6:00 PM,9:00 AM,4:30 PM,10:00 AM,6:00 PM,9:00 AM,4:30 PM,,,Y,43.103926,-75.223885,"(43.103926, -75.223885)"
MELVILLE VEHICLE SAFETY,VS,6317703003,,1800 Old Walt  Whitman Rd,Suite 105,Melville,NY,11747,8:00AM,4:00 PM,8:00AM,4:00 PM,8:00 AM,4:00 PM,8:00AM,4:00 PM,8:00AM,4:00 PM,,,N,,,
YONKERS VEHICLE SAFETY,VS,9149657766,,1 Larkin Plaza,,Yonkers,NY,10701,8:30am,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,N,,,
LATHAM VEHICLE SAFETY,VS,5187837062,,175 Sparrowbush Road,,Latham,NY,12110,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30 PM,8:30AM,4:30PM,,,N,,,
N SYRACUSE VEHICLE SAFETY,VS,3154586683,,5801 East Taft Road,,N. Syracuse,NY,13212,8:00 AM,4:30 PM,8:00 AM,4:30 PM,8:00 AM,4:30 PM,8:00 AM,4:30 PM,8:00 AM,4:30 PM,,,N,,,
BUFFALO VEHICLE SAFETY,VS,7168263187,,334 Dingens Street,,Buffalo,NY,14206,8:30am,4:30pm,8:30am,4:30pm,8:30 AM,4:30PM,8:30 AM,4:30PM,8:30 AM,4:30PM,,,N,,,
JAMAICA VEHICLE SAFETY,VS,7185268546,,92-11 179th Place,,Jamaica,NY,11433,8:45am,4:00pm,8:45am,4:00pm,8:45am,4:00pm,8:45am,4:00pm,8:45am,4:00pm,,,N,,,
WAPPINGERS FALLS,CO,8452984620,,"29 Marshall Rd, Suite 3B",,Wappingers Falls,NY,12590,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,Y,41.590977,-73.905422,"(41.590977, -73.905422)"
WEST HAVERSTRAW,DO,7184774820,,50 Samsondale Plaza,State Route 9W,West Haverstraw,NY,10993,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,Y,41.20526,-73.985496,"(41.20526, -73.985496)"
WAMPSVILLE,CO,3153662251,,138 North Court Street,Building 4,Wampsille,NY,13163,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,Y,43.080902,-75.707461,"(43.080902, -75.707461)"
WHITE PLAINS,DO,7184774820,,200 Hamilton Avenue,,White Plains,NY,10601,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,Y,41.034022,-73.769782,"(41.034022, -73.769782)"
WARSAW                                  ,CO,5857868811,,6 Perry Avenue,,Warsaw,NY,14569,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,Y,42.74075,-78.134498,"(42.74075, -78.134498)"
WATKINS GLEN,CO,6075358131,,105 9th Street,,Watkins Glen,NY,14891,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,Y,42.377227,-76.871585,"(42.377227, -76.871585)"
WATERLOO                                ,CO,3155391775,,1 Di Pronio Drive,,Waterloo,NY,13165,8:45 AM,4:45 PM,8:45 AM,4:45 PM,8:45 AM,4:45 PM,8:45 AM,6:45 PM,8:45 AM,4:45 PM,,,Y,42.908274,-76.843666,"(42.908274, -76.843666)"
WATERTOWN,CO,3157853023,,175 Arsenal Street,,Watertown,NY,13601,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,7:00 PM,9:00 AM,4:45 PM,,,Y,43.975194,-75.913959,"(43.975194, -75.913959)"
YONKERS,DO,7184774820,,1 Larkin Plaza,,Yonkers,NY,10701,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,,,Y,40.935807,-73.901956,"(40.935807, -73.901956)"
